Name,Brand,Model Number,Power,Capacity,Convection,Price,Rating
Microwave Model 1,Panasonic,MW-4779,1100W,36 Liters,No,208.84,2
Microwave Model 2,GE,MW-6970,700W,28 Liters,No,102.22,4.2
Microwave Model 3,GE,MW-9936,1200W,30 Liters,No,234.4,4.7
Microwave Model 4,Toshiba,MW-2912,1000W,35 Liters,No,298.75,2.3
Microwave Model 5,GE,MW-8401,900W,37 Liters,Yes,208.68,4.5
Microwave Model 6,Samsung,MW-7069,700W,32 Liters,Yes,264.82,3.8
Microwave Model 7,LG,MW-3178,1200W,29 Liters,No,191.78,1.3
Microwave Model 8,Whirlpool,MW-1664,1200W,22 Liters,Yes,291.67,4.2
Microwave Model 9,Sharp,MW-4070,1000W,38 Liters,No,228.11,2.7
Microwave Model 10,Toshiba,MW-7767,1100W,26 Liters,Yes,248.5,1.5
Microwave Model 11,GE,MW-5395,700W,40 Liters,Yes,67.6,3.1
Microwave Model 12,Whirlpool,MW-3990,1000W,28 Liters,Yes,76.77,3.8
Microwave Model 13,Panasonic,MW-4523,700W,32 Liters,Yes,65.3,2.4
Microwave Model 14,Panasonic,MW-7185,700W,26 Liters,No,158.92,1.1
Microwave Model 15,Panasonic,MW-6823,900W,39 Liters,No,115.08,2.4
Microwave Model 16,Whirlpool,MW-6636,1000W,39 Liters,Yes,196.33,4.8
Microwave Model 17,Panasonic,MW-7113,700W,27 Liters,No,189.34,4
Microwave Model 18,Samsung,MW-9806,700W,31 Liters,No,181.63,3
Microwave Model 19,Whirlpool,MW-3306,900W,25 Liters,Yes,264.67,4.2
Microwave Model 20,Samsung,MW-5322,700W,35 Liters,Yes,210.87,2.8
Microwave Model 21,Samsung,MW-6687,1100W,35 Liters,Yes,63.65,2.7
Microwave Model 22,Sharp,MW-5695,1000W,23 Liters,Yes,132.34,1.6
Microwave Model 23,Samsung,MW-9075,1100W,25 Liters,No,217.35,2.2
Microwave Model 24,Panasonic,MW-5013,1100W,28 Liters,No,106.57,1.3
Microwave Model 25,LG,MW-9535,1000W,26 Liters,Yes,104.13,2.5
Microwave Model 26,Samsung,MW-6734,900W,21 Liters,No,278.9,4.5
Microwave Model 27,LG,MW-8362,1200W,32 Liters,No,84.73,4.4
Microwave Model 28,GE,MW-2043,1100W,20 Liters,Yes,128.99,2.2
Microwave Model 29,LG,MW-8393,1200W,20 Liters,No,70.99,4.7
Microwave Model 30,Sharp,MW-1794,900W,22 Liters,No,185.29,4.8
