Name,Brand,Model Number,Screen Size,Resolution,Smart TV,Price,Rating
TV Model 1,Sharp,TV-1941,65 inch,8K,No,380.35,3.5
TV Model 2,Vizio,TV-2560,75 inch,4K,No,1552.31,4.1
TV Model 3,LG,TV-4700,32 inch,1080p,No,1023.25,1.2
TV Model 4,Samsung,TV-2357,50 inch,4K,No,1965.18,5
TV Model 5,Samsung,TV-7881,32 inch,8K,No,719.62,2.4
TV Model 6,Vizio,TV-2746,50 inch,1080p,No,280.86,4.3
TV Model 7,LG,TV-2115,75 inch,1080p,No,1613.33,1.1
TV Model 8,TCL,TV-2519,55 inch,1080p,No,1826.12,4.5
TV Model 9,LG,TV-6514,40 inch,4K,Yes,1996.85,1.2
TV Model 10,Sharp,TV-4201,65 inch,8K,Yes,1586.16,1.1
TV Model 11,Panasonic,TV-6735,40 inch,1080p,Yes,1679.76,3.7
TV Model 12,Panasonic,TV-4476,75 inch,1080p,No,935.85,4.3
TV Model 13,Samsung,TV-4992,32 inch,1080p,No,379.93,3
TV Model 14,Panasonic,TV-9102,32 inch,1080p,No,290.07,2.2
TV Model 15,LG,TV-3177,40 inch,8K,No,615.68,2.7
TV Model 16,LG,TV-2785,55 inch,4K,Yes,1132.81,1.3
TV Model 17,Panasonic,TV-1923,32 inch,1080p,Yes,1931.96,2.2
TV Model 18,Samsung,TV-3784,50 inch,4K,Yes,907.64,1.3
TV Model 19,Sony,TV-3704,75 inch,1080p,No,1446.06,1.4
TV Model 20,LG,TV-3424,75 inch,8K,No,346.63,2.7
TV Model 21,Vizio,TV-6001,55 inch,4K,No,374.12,3.9
TV Model 22,Panasonic,TV-3704,50 inch,4K,Yes,1722.46,1.2
TV Model 23,Vizio,TV-3883,50 inch,1080p,Yes,720.17,1.3
TV Model 24,Vizio,TV-1652,75 inch,1080p,Yes,1724.53,2.9
TV Model 25,Samsung,TV-2354,32 inch,1080p,No,719.53,1.4
TV Model 26,Panasonic,TV-1201,32 inch,1080p,Yes,1116.73,1.5
TV Model 27,Sharp,TV-1845,65 inch,4K,Yes,434.86,2.8
TV Model 28,Sharp,TV-1425,32 inch,8K,Yes,713.88,3.8
TV Model 29,Samsung,TV-1161,55 inch,4K,No,510.53,3.7
TV Model 30,TCL,TV-3674,75 inch,4K,No,1946.6,1.8
